ukprn,name,postcode,town,website,latitude,longitude,constituency_2024,constituency_pcon_code
10001653,The Conservatoire For Dance And Drama,WC1H 9JJ,London,www.cdd.ac.uk,51.526189,-0.129076,Holborn and St Pancras,E14001290
10003945,The Liverpool Institute For Performing Arts,L1 9HF,Liverpool,www.lipa.ac.uk,53.399674,-2.972272,Liverpool Riverside,E14001338
10005500,The Robert Gordon University,AB10 7FY,Aberdeen,www.rgu.ac.uk,57.117934,-2.144052,Aberdeen South,S14000061
10007816,The Royal Central School Of Speech And Drama,NW3 3HY,London,www.cssd.ac.uk,51.544328,-0.17418,Hampstead and Highgate,E14001265
10007779,The Royal Veterinary College,NW1 0TU,London,www.rvc.ac.uk,51.53683,-0.133773,Holborn and St Pancras,E14001290
10007787,The University Of Buckingham,MK18 1EG,Buckingham,www.buckingham.ac.uk,51.996009,-0.99182,Buckingham and Bletchley,E14001141
10007137,The University Of Chichester,PO19 6PE,Chichester,www.chi.ac.uk,50.844301,-0.774991,Chichester,E14001166
10007842,The University Of Cumbria,CA1 2HH,Carlisle,www.cumbria.ac.uk,54.891169,-2.921421,Carlisle,E14001152
10007798,The University Of Manchester,M13 9PL,Manchester,www.manchester.ac.uk,53.466926,-2.233578,Manchester Rusholme,E14001353
10007165,The University Of Westminster,W1B 2HW,London,www.westminster.ac.uk,51.516794,-0.143342,Cities of London and Westminster,E14001172
10008017,Trinity Laban Conservatoire Of Music And Dance Ltd,SE10 9JF,London,www.trinitylaban.ac.uk,51.483587,-0.007172,Greenwich and Woolwich,E14001257
10014001,University Campus Suffolk Ltd,IP4 1QJ,Ipswich,www.ucs.ac.uk,52.052374,1.163356,Ipswich,E14001302
10000712,University College Birmingham,B3 1JB,Birmingham,www.ucb.ac.uk,52.481855,-1.905934,Birmingham Ladywood,E14001096
10007784,University College London,WC1E 6BT,London,www.ucl.ac.uk,51.523571,-0.132398,Holborn and St Pancras,E14001290
10006427,University For The Creative Arts,GU9 7DS,Farnham,www.ucreative.ac.uk,51.216704,-0.804799,Farnham and Bordon,E14001234
10007783,University Of Aberdeen,AB24 3FX,Aberdeen,www.abdn.ac.uk,57.164841,-2.100237,Aberdeen North,S14000060
10007849,University Of Abertay Dundee,DD1 1HG,Dundee,www.abertay.ac.uk,56.463117,-2.974299,Dundee Central,S14000075
10007850,University Of Bath (The),BA2 7AY,Bath,www.bath.ac.uk,51.379324,-2.327157,Bath,E14001080
10007152,University Of Bedfordshire,LU1 3JU,Luton,www.beds.ac.uk,51.878258,-0.411514,Luton South and South Bedfordshire,E14001346
10006840,University Of Birmingham,B15 2TT,Birmingham,www.birmingham.ac.uk,52.453282,-1.92789,Birmingham Edgbaston,E14001092
