constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Leicester East,East Midlands,1110,127114647.75,11355886.63,115758761.12,930,2527384329.97,pre-2024 boundaries
Leicester South,East Midlands,3475,397812441.58,35538886.09,362273555.49,3040,2527384329.97,pre-2024 boundaries
Leicester West,East Midlands,1865,213385405.11,19062952.32,194322452.79,1550,2527384329.97,pre-2024 boundaries
Leigh and Atherton,North West,145,17802132.41,1736870.1,16065262.31,150,3042886993.32,pre-2024 boundaries
Lewes,South East,105,11823828.52,1123391.67,10700436.85,110,3571691172.66,pre-2024 boundaries
Lewisham East,London,955,106109748.09,13234046.15,92875701.94,790,9591194979.52,pre-2024 boundaries
Lewisham North,London,1675,185746396.39,23166357.72,162580038.67,1390,9591194979.52,pre-2024 boundaries
Lewisham West and East Dulwich,London,540,59640546.65,7438390.54,52202156.11,520,9591194979.52,pre-2024 boundaries
Leyton and Wanstead,London,1150,127583822.47,15912300.47,111671522.0,950,9591194979.52,pre-2024 boundaries
Lichfield,West Midlands,50,5774845.5,534414.2,5240431.3,50,3089054238.61,pre-2024 boundaries
Lincoln,East Midlands,915,105005562.82,9380754.21,95624808.61,820,2527384329.97,pre-2024 boundaries
Liverpool Garston,North West,145,17845872.29,1741137.59,16104734.7,170,3042886993.32,pre-2024 boundaries
Liverpool Riverside,North West,2845,346682313.17,33824158.2,312858154.98,2650,3042886993.32,pre-2024 boundaries
Liverpool Walton,North West,240,29349461.54,2863488.54,26485973.0,260,3042886993.32,pre-2024 boundaries
Liverpool Wavertree,North West,935,114029875.15,11125357.11,102904518.05,1000,3042886993.32,pre-2024 boundaries
Liverpool West Derby,North West,315,38403617.33,3746859.82,34656757.52,360,3042886993.32,pre-2024 boundaries
Livingston,Scotland,470,50695104.24,5722693.89,44972410.35,440,4211398343.47,pre-2024 boundaries
Llanelli,Wales,110,10671923.47,1241322.45,9430601.02,100,1258810595.29,pre-2024 boundaries
Lothian East,Scotland,290,31222327.74,3524518.33,27697809.41,280,4211398343.47,pre-2024 boundaries
Loughborough,East Midlands,1625,186139357.4,16628905.3,169510452.09,1680,2527384329.97,pre-2024 boundaries
Louth and Horncastle,East Midlands,45,4885150.88,436418.78,4448732.1,50,2527384329.97,pre-2024 boundaries
Lowestoft,East of England,50,4977904.79,502690.02,4475214.77,50,2304881140.55,pre-2024 boundaries
Luton North,East of England,780,80536833.56,8132952.37,72403881.19,620,2304881140.55,pre-2024 boundaries
Luton South and South Bedfordshire,East of England,1870,192802751.3,19470042.76,173332708.54,1410,2304881140.55,pre-2024 boundaries
Macclesfield,North West,60,7217080.71,704136.53,6512944.18,70,3042886993.32,pre-2024 boundaries
